code1,code2
0.156,0.047
0.375,0.531
2.75,13.655
0.593,0.327
0.031,0.281
0.062,0.531
0.015,0.374
0.14,0.015
0.077,0.031
1,0.186
0.186,0.265
0.092,0.077
0.141,0.077
0.28,0.171
0.108,0.015
0.015,0.452
0.078,0.594
0.031,0.062
0.062,0.093
0.108,0.092
0.015,0.046
0.187,0.375
0.046,0.234
0.108,0.062
0.031,0.203
0.078,1.89
4.233,0.062
0.015,0.062
0.109,2.093
1.296,0.046
0.219,0.062
7.438,0.077
0.249,0.124
0.046,0.827
0.234,1.765
0.187,0.062
0.031,1.999
0.202,0
0.718,0.031
0.312,0.109
0.187,0.077
1.186,0.062
0.047,0.124
0.39,0.39
0.046,0.109
0.016,0.937
0.015,0.203
0.016,0.859
0.03,0.109
0.265,0.344
0.062,0.093
0.015,0.109
0.125,0
0.671,0.031
0.155,0.233
0.343,0.609
0.578,0.296
3.671,0.03
0.015,0.156
0.749,0.327
0.047,0.155
0.203,0.063
0.031,0.031
0.124,0.077
0.218,0.187
0.187,0.749
0.296,0.171
0.516,0.484
0.218,0.312
0.108,0.031
0.124,0.124
0.031,0.015
0.093,0.25
0.094,0.109
0.077,0.046
0.218,0
0.109,0.124
0.094,0.093
0.281,0.265
0.046,0.109
0.171,1.218
0.062,0.109
0.656,0
0.015,0.125
0.327,2.421
0.077,0.14
0.171,0.28
0.186,0.593
0.389,0.406
0.124,0.015
0.046,0.156
0.578,0.078
0.265,0
0.155,0.187
0.155,2.218
0.968,0.093
0.015,0.046
0.077,0.093
0.109,0.14
0.077,0.015
