code1,code2
25.562,0.265
2.406,2.234
2.766,0.343
0.062,0.031
0.266,6.765
0.499,1.844
3.406,0.109
0.296,0.109
0.327,2.905
0.187,0.391
0.172,0.187
3.859,0.437
0.609,1.234
0.124,0.327
0,9.328
0.046,0.031
0.296,1.843
0,0.062
0.234,1.531
0.952,2.547
0.124,0
8.155,3.765
1.797,15.562
9.875,0.843
0.313,0.64
4.437,0.172
0.375,1.438
0.015,0.093
2.687,2.157
0.047,0.718
0,0
0.437,1.187
0.016,0.141
0.265,0.031
5.561,0.125
0.03,0
1,0.453
0.203,2.406
15.25,2.968
0.124,0.015
23.546,0.234
4.031,3.422
0.766,0.109
4.453,11.671
0.422,0.172
0,0.344
0.812,1.859
0.219,6.875
6.656,0.046
2.577,3.422
16.031,0.641
0.109,1.171
4.344,0.578
1.469,0.108
0.39,0
0.062,0.844
0.296,0.015
0.155,0.187
0,1.172
0.297,0.062
0.124,0.125
0.062,2.343
100.015,0.015
8.094,0.719
0.719,0.171
0.327,4.64
1.093,0.297
1.328,0.89
0.359,4.749
0.093,0.234
9.891,0.047
1.609,0.093
2.125,0.141
0.078,2.452
1.484,2.079
2.515,0.124
2.937,17.265
0.203,0.093
1.687,0.031
6.891,6.641
1.094,1.391
0.249,0.188
41.671,4.234
0.015,28.234
0.327,0.156
7.702,0.108
0.171,0.015
0.062,14.641
2.984,0.156
0.092,1.187
0,0.827
6.313,0.719
6.937,0.109
0.016,0.047
0.047,1.547
0.235,2.688
0.171,0.749
0.625,6.906
0,0.031
0.109,2.218
