code1,code2
0.062,0.015
0.046,0
0.047,0
0.031,0
0,0
0.172,0.124
0,0.139
0.109,0.046
0.921,0
0,0.062
0,0
0,2.125
0.015,0
0.016,0
0.436,0.015
0.156,0
0,0.093
0,0.266
0,0
0.094,0
0.108,0.015
0.047,0
0.452,0.187
0,0.031
0,0
0.25,0.094
0,0.953
0,0.234
0.031,0.078
0,0
0.031,0.078
0.078,0.016
0,0.078
0,0
0.015,26.64
0,0
0,0.062
0,8.562
0.047,0
0.172,0
0.25,0
0.89,0.016
0.016,0.172
0,0.016
0.593,0
0,0.015
0,0.406
0.125,0
0.015,0
0.015,0.047
0,0.015
0.093,0
0,0
0.077,0.016
0.046,0
0,0
0,0
0.062,0
0,0.015
0,0.171
0,0
0.093,0.015
0.016,0.015
0,0
0,0.046
0,0.453
0.766,0.031
0.093,0
0.016,0.312
0.124,0
0,0.015
2.656,0
0,0.141
0.015,0.03
5.484,0.483
0,0
0,0.235
0.015,0
0.031,0.125
0.016,0.484
0.281,0
2.093,0
0.016,0
0.234,0
0.094,0.031
0,0.093
0,0.016
0,0
0.078,0.124
0.125,0.14
0,0.452
0,3.469
1.515,0
0.015,0
0.062,0.031
0.015,0.016
0.015,0.077
6.296,1.437
0.125,0
0.016,0.515
