code1,code2
0.031,1.579
0.031,0
0,0.172
0.671,6.235
0.203,0.046
1.406,2.156
0.046,0.891
2.046,0.561
18.078,0.015
0.61,29.25
0,0.047
0.047,0
0.061,0.015
0.015,0.03
0.031,0.844
0.015,2.187
0,0
0.875,0.046
0.015,0
0.172,0
0.062,0.484
0.046,0
0.109,0.108
0.406,0.172
6.046,0.031
0.015,0
0,0
0,0.046
0.186,0
0.031,0.921
0.031,0
0.015,0.312
0.062,0.031
0,0.077
0.031,0
0.015,0.14
0,0
0,0.813
1.235,0.015
0.016,0
0,0.016
0,0.046
100.015,6.625
0.031,0.078
0.015,0.421
0.89,0.171
1.438,0
1.468,0
2.077,0.031
0,0
0.156,0.656
0.359,7.39
0.125,0.046
0.078,0
0.406,0
0.14,0.046
0,0.125
0.094,0
0,0.078
0,0.281
0.015,2.516
0,0.078
0,0.624
0,0.109
0.14,0.109
12.984,0.719
0,1.124
0,0.031
0.077,0
0.031,0.093
0.015,0
0.171,0.265
0.109,0
0.016,6.046
0.109,0
7.797,0
0.14,0
0.327,0
0.108,0
0.062,0.062
0.359,1.546
0.015,0.094
0,25.687
1.109,1.625
0.062,0
0,0.062
0.015,16.265
0.016,0.171
0.015,0.015
0.062,0
0.046,0.015
0,0
0.141,2.016
0.063,0.061
0,0.047
1.952,0.874
0,0.328
0,0
0.359,0.016
0.062,18.906
